1970-01-01 00:54:23.664105 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 1, length 64
1970-01-01 00:54:23.664233 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 1, length 64
1970-01-01 00:54:24.666128 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 2, length 64
1970-01-01 00:54:24.666234 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 2, length 64
1970-01-01 00:54:25.668188 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 3, length 64
1970-01-01 00:54:25.668310 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 3, length 64
1970-01-01 00:55:58.369101 IP 192.168.1.106.63685 > 192.168.1.126.22: Flags [S], seq 400577557, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908321 IP 192.168.1.106.59578 > 192.168.1.126.25: Flags [S], seq 90546572, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908770 IP 192.168.1.106.59572 > 192.168.1.126.21: Flags [S], seq 1424227481, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908776 IP 192.168.1.106.59575 > 192.168.1.126.24: Flags [S], seq 1224581590, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908783 IP 192.168.1.106.59576 > 192.168.1.126.27: Flags [S], seq 2431346802, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908787 IP 192.168.1.106.59577 > 192.168.1.126.26: Flags [S], seq 3653252237, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908791 IP 192.168.1.106.59574 > 192.168.1.126.22: Flags [S], seq 2307969272, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908794 IP 192.168.1.106.59573 > 192.168.1.126.23: Flags [S], seq 3434934829, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908799 IP 192.168.1.106.59580 > 192.168.1.126.30: Flags [S], seq 1685957799, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.908803 IP 192.168.1.106.59581 > 192.168.1.126.28: Flags [S], seq 552331728, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.909035 IP 192.168.1.106.59579 > 192.168.1.126.29: Flags [S], seq 4207362319, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:14.847401 IP 192.168.1.106.59552 > 192.168.1.126.5: Flags [S], seq 4059970330, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:15.362081 IP 192.168.1.106.59552 > 192.168.1.126.5: Flags [S], seq 4059970330, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:58:38.831972 IP 192.168.1.106.58129 > 192.168.1.126.53: 28261 zoneInit [b2&3=0x746d] [11620a] [28526q] [28275n] [11636au] [|domain]
1970-01-01 00:58:38.832144 IP 192.168.1.126 > 192.168.1.106: ICMP 192.168.1.126 udp port 53 unreachable, length 52
